,0,1
0,25.76,21.81
1,32.53,24.17
2,22.41,16.45
3,24.91,16.79
4,26.08,21.31
5,30.39,24.47
6,29.97,20.84
7,31.52,24.46
8,31.24,24.12
9,30.36,20.44
10,26.65,22.94
11,30.62,24.07
12,29.1,23.59
13,32.9,24.96
14,33.97,26.75
15,26.08,20.3
16,32.68,24.31
17,36.63,27.19
18,24.36,20.34
19,35.31,24.86
20,27.03,23.81
21,32.88,22.95
22,35.66,26.6
23,26.87,19.84
24,30.16,20.26
25,24.07,18.34
26,26.0,22.41
27,31.43,22.32
28,27.56,22.77
29,30.65,25.23
30,31.55,24.13
31,30.48,21.63
32,31.21,20.51
33,28.82,22.25
34,31.34,21.33
35,26.41,20.9
36,25.74,20.83
37,34.28,25.17
38,31.52,21.08
39,26.7,21.81
40,27.83,22.5
41,29.24,23.59
42,30.76,21.07
43,31.47,20.95
44,27.21,24.16
45,27.02,19.86
46,28.83,24.7
47,31.29,24.87
48,32.7,22.92
49,29.38,22.05
50,31.21,24.83
51,31.66,24.95
52,31.71,22.03
53,33.56,21.85
54,28.47,18.98
55,31.61,24.67
56,34.52,25.36
57,27.49,20.11
58,29.06,23.26
59,30.8,25.69
60,30.1,20.4
61,28.33,21.74
62,25.19,22.35
63,32.4,27.4
64,31.96,23.16
65,33.04,24.33
66,26.92,23.15
67,31.64,23.86
68,33.17,23.73
69,28.53,23.28
70,30.82,24.74
71,30.61,21.8
72,31.03,25.55
73,34.95,26.01
74,33.1,24.98
75,28.81,22.03
76,29.84,24.98
77,29.64,20.46
78,27.72,21.49
79,32.99,24.5
80,25.21,20.96
81,30.83,23.93
82,32.95,24.36
83,28.87,21.29
84,30.49,24.46
85,26.7,20.4
86,27.06,20.16
87,29.6,20.62
88,37.6,27.34
89,28.19,23.39
90,28.99,19.59
91,32.36,23.49
92,25.44,18.41
93,29.43,23.36
94,28.16,18.99
95,33.42,26.09
96,31.86,24.15
97,31.08,24.54
98,30.44,20.91
99,35.51,26.71
100,31.73,22.13
101,32.63,23.52
102,32.38,24.71
103,33.13,24.6
104,31.67,25.9
105,30.07,24.16
106,27.53,23.31
107,24.67,19.06
108,27.49,21.0
109,29.14,24.51
