,0
0,11206
1,4227
2,14413
3,11818
4,3671
5,10382
6,10824
7,5661
8,4531
9,12891
10,9092
11,6442
12,14399
13,10656
14,12872
15,16665
16,9139
17,12377
18,10738
19,12971
20,14800
21,11703
22,13327
23,14038
24,4634
25,9750
26,4841
27,13589
28,11304
29,12889
30,5623
31,8352
32,13892
33,6679
34,6138
35,4175
36,5745
37,19240
38,11193
39,7669
40,3968
41,11481
42,2001
43,8303
44,7024
45,4686
46,17333
47,3386
48,8379
49,8471
50,12397
51,12702
52,11578
53,12187
54,3554
55,5454
56,6617
57,7783
58,5458
59,8823
60,9003
61,10362
62,5452
63,6757
64,6285
65,4177
66,5785
67,11390
68,3963
69,11632
70,2775
71,14176
72,11753
73,6664
74,4417
75,5946
76,3626
77,14329
78,8231
79,10877
80,3571
81,8823
82,6676
83,4524
84,8989
85,7811
86,3578
87,13719
88,4149
89,10286
90,12593
91,11371
92,6046
93,8664
94,3158
95,3137
96,10476
97,15257
98,2386
99,10966
100,10265
101,9937
102,13015
103,9750
104,4185
105,10532
106,2321
107,14343
108,8111
109,9608
110,15767
111,15710
112,3850
113,5788
114,9907
115,13525
116,12468
117,5329
118,16345
119,9836
120,12322
121,13165
122,5071
123,5353
124,5214
125,12524
126,5289
127,5599
128,6573
129,4156
130,15286
131,5538
132,6776
133,4845
134,5265
135,12628
136,12821
137,3917
138,5662
139,7556
140,16671
141,11058
142,13280
143,13705
144,7248
145,7482
146,3975
147,5732
148,12299
149,8367
150,12999
151,12057
152,10674
153,4729
154,4007
155,3937
156,4713
157,4816
158,10864
159,4301
160,5633
161,8351
162,4915
163,3664
164,4255
165,6854
166,10842
167,4043
168,6569
169,6465
170,13239
171,12169
172,6708
173,3754
174,11814
175,3981
176,4940
177,12558
178,8103
179,10877
180,8554
181,2903
182,3852
183,16597
184,14178
185,11940
186,12464
187,12846
188,6712
189,3863
190,12117
191,12390
192,2118
193,7492
194,10664
195,4332
196,11469
197,8894
198,5596
199,5390
200,13640
201,11713
202,9311
203,3553
204,6723
205,3740
206,10129
207,12414
208,10670
209,9424
210,5550
211,10753
212,11354
213,5792
214,26851
215,10686
216,13573
217,12703
218,11201
219,19825
220,4384
221,6097
222,13038
223,3669
224,4935
225,9487
226,4330
227,2830
228,6065
229,12952
230,11951
231,10910
232,5047
233,28892
234,3830
235,7690
236,18882
237,4455
238,11219
239,6251
240,10667
241,12898
242,15482
243,4829
244,16689
245,15129
246,10856
247,5443
248,10904
249,6889
250,19162
251,10692
252,14331
253,8765
254,8436
255,13179
256,9732
257,5761
258,12792
259,11046
260,14616
261,3022
262,4842
263,11857
264,7262
265,6349
266,15141
267,3952
268,12581
269,13454
270,11287
271,12897
272,4674
273,6649
274,8593
275,3672
276,10762
277,12465
278,13208
279,7315
280,6627
281,11506
282,21302
283,8471
284,10255
285,3998
286,6778
287,6661
288,5687
289,10608
290,15372
291,12658
292,11667
293,8416
294,12414
295,12327
296,12572
297,14897
298,9068
299,11920
300,5229
301,4702
302,7041
303,10052
304,10690
305,7178
306,11491
307,4736
308,8936
309,5004
310,4869
311,10083
312,14274
313,13832
314,8085
315,9357
316,7322
317,13297
318,10984
319,8640
320,14380
321,6567
322,6247
323,12077
324,13596
325,3661
326,10431
327,11579
328,7668
329,12264
330,6131
331,5707
332,2562
333,4029
334,5766
335,6373
336,15722
337,10729
338,5335
339,12474
340,3889
341,11690
342,12480
343,3100
344,13306
345,4846
346,10969
347,4666
348,10460
349,15350
350,15534
351,8524
352,9556
353,13658
354,10843
355,6857
356,26611
357,11627
358,5428
359,9490
360,5074
361,5298
362,3922
363,12343
364,9159
365,8878
366,5259
367,11014
368,5727
369,9642
370,4189
371,9332
372,3469
373,4080
374,11552
375,9745
376,11963
377,10840
378,7127
379,6456
380,6180
381,11733
382,12915
383,5003
384,5780
385,13765
386,4770
387,3855
388,4991
389,13647
390,13029
391,10438
392,3566
393,6441
394,15655
395,7042
396,7226
397,6524
398,23701
399,4144
400,12700
401,4320
402,11412
403,4495
404,10531
405,12276
406,4800
407,8551
408,17216
409,11779
410,8644
411,3904
412,13387
413,13848
414,12334
415,4729
416,13800
417,11665
418,13360
419,8164
420,13736
421,3595
422,6505
423,14083
424,13454
425,5157
426,7553
427,4917
428,5967
429,10261
430,15438
431,10332
432,3731
433,3652
434,4557
435,11234
436,4330
437,13422
438,10565
439,9706
440,11095
441,10723
442,13136
443,3552
444,8315
445,7644
446,11955
447,3849
448,15853
449,8977
450,7831
451,11219
452,5321
453,8737
454,14244
455,9209
456,3438
457,12614
458,6749
459,13329
460,18272
461,12739
462,10509
463,12189
464,5753
465,14096
466,7424
467,7767
468,5667
469,12598
470,8759
471,10363
472,4329
473,13790
474,15366
475,5988
476,5162
477,4704
478,10805
479,11562
480,8211
481,12976
482,6373
483,13420
484,12890
485,18664
486,10736
487,6470
488,14452
489,13365
490,7856
491,12748
492,13559
493,12980
494,3648
495,4324
496,15518
497,11955
498,7477
499,13449
500,5562
501,14474
502,7124
503,12278
504,3891
505,11814
506,14603
507,13177
508,4849
509,7824
510,9234
511,7598
512,4480
513,3377
514,13483
515,7696
516,6750
517,6928
518,4821
519,3854
520,6159
521,14800
522,6951
523,11267
524,11130
525,11969
526,2428
527,9890
528,6379
529,2069
530,6631
531,18716
532,6471
533,13075
534,4711
535,10340
536,13595
537,11557
538,3738
539,7096
540,5889
541,5062
542,8616
543,2227
544,16482
545,14820
546,4901
547,8207
548,13373
549,4189
550,6005
551,9636
552,4937
553,8287
554,13117
555,7115
556,2294
557,2536
558,3991
559,3927
560,14045
561,8379
562,6732
563,13002
564,7271
565,8643
566,12021
567,5522
568,7363
569,6585
570,15302
571,6745
572,7378
573,9506
574,10210
575,7626
576,11650
577,13248
578,12807
579,7307
580,6440
581,12501
582,11984
583,11091
584,6145
585,13542
586,7718
587,3412
588,6884
589,4728
590,5488
591,9394
592,4595
593,10123
594,8932
595,8247
596,14663
597,6026
598,6418
599,9389
600,8823
601,8539
602,14336
603,4709
604,6511
605,15382
606,6267
607,11840
608,6231
609,8860
610,10548
611,5424
612,12069
613,12081
614,5304
615,4245
616,6832
617,4042
618,13388
619,13238
620,13459
621,6118
622,15183
623,5619
624,26871
625,16357
626,8931
627,2934
628,12061
629,2384
630,4008
631,5054
632,14509
633,15040
634,12464
635,13994
636,4812
637,16501
638,7236
639,6499
640,13992
641,6451
642,7252
643,4281
644,9750
645,10904
646,3657
647,20558
648,9449
649,7090
650,8933
651,9263
652,6479
653,4527
654,4010
655,10072
656,4315
657,15258
658,8432
659,6014
660,13770
661,4800
662,14165
663,5798
664,9661
665,3900
666,7084
667,12933
668,6790
669,3931
670,13939
671,5975
672,6882
673,9175
674,12111
675,12329
676,6355
677,11843
678,4814
679,10070
680,10985
681,7350
682,5271
683,13107
684,4838
685,6843
686,7853
687,5497
688,7794
689,7507
690,4941
691,17161
692,6863
693,4025
694,11043
695,11168
696,6257
697,8407
698,13265
699,6648
700,9367
701,5268
702,7387
703,11761
704,8633
705,8630
706,11170
707,6265
708,6489
709,29681
710,12327
711,4516
712,11239
713,12573
714,7499
715,4552
716,13365
717,11696
718,13461
719,17880
720,8910
721,7772
722,9971
723,9360
724,14468
725,11448
726,5013
727,13637
728,6283
729,14344
730,4691
731,8704
732,3603
733,6330
734,13054
735,14493
736,9694
737,7559
738,4026
739,3700
740,12532
741,14038
742,12398
743,11376
744,6605
745,6166
746,5304
747,23965
748,11779
749,4393
750,9726
751,6172
752,7329
753,11948
754,6990
755,8073
756,10162
757,7918
758,6773
759,3794
760,7514
761,15994
762,6795
763,7060
764,4656
765,9871
766,8302
767,3527
768,12414
769,3123
770,8188
771,7449
772,11189
773,4924
774,13195
775,4293
776,10015
777,3981
778,11785
779,4695
780,12268
781,7720
782,11115
783,6233
784,10288
785,14866
786,14531
787,5924
788,17811
789,13615
790,14176
791,5792
792,4749
793,13170
794,12414
795,5866
796,13618
797,2903
798,6873
799,4824
800,11156
801,13390
802,8357
803,13373
804,10741
805,11068
806,17226
807,3569
808,10018
809,11679
810,12327
811,12748
812,6950
813,7721
814,7333
815,11523
816,7305
817,10899
818,5149
819,12295
820,7475
821,6304
822,14177
823,13882
824,9292
825,6897
826,3891
827,3955
828,4238
829,10208
830,9280
831,15629
832,12889
833,11981
834,13583
835,11561
836,3130
837,8930
838,13612
839,12320
840,6275
841,3877
842,4828
843,6052
844,14065
845,13292
846,7187
847,7326
848,8374
849,7192
850,8384
851,10980
852,7234
853,5495
854,5273
855,4670
856,13474
857,5094
858,4849
859,4817
860,12213
861,13311
862,12688
863,12480
864,10248
865,11165
866,3594
867,13719
868,8413
869,4386
870,6454
871,13403
872,15601
873,10627
874,4052
875,24964
876,9297
877,13236
878,3855
879,8088
880,20286
881,3788
882,6193
883,4894
884,15946
885,11259
886,7007
887,4958
888,13733
889,8742
890,3985
891,3911
892,7543
893,4813
894,3922
895,8443
896,13083
897,7481
898,7595
899,10325
900,3853
901,7555
902,11116
903,15132
904,13285
905,9713
906,4301
907,12735
908,3172
909,6524
910,15503
911,11805
912,5979
913,3916
914,8532
915,15612
916,10123
917,11523
918,3601
919,7751
920,7379
921,10870
922,4623
923,5175
924,7760
925,13827
926,12028
927,12417
928,5151
929,13666
930,5201
931,11799
932,3564
933,7472
934,10194
935,7706
936,5934
937,9766
938,6176
939,12755
940,10825
941,4150
942,3583
943,12717
944,5734
945,5899
946,4302
947,9320
948,11608
949,6682
950,14015
951,4127
952,6126
953,11555
954,27570
955,3684
956,7239
957,4899
958,11538
959,14219
960,12952
961,12077
962,6042
963,13815
964,5610
965,10430
966,13094
967,4440
968,17880
969,7822
970,5175
971,9942
972,4419
973,3231
974,12897
975,7866
976,3401
977,14096
978,6022
979,12339
980,10611
981,4957
982,7050
983,10737
984,4651
985,7605
986,4320
987,11931
988,12133
989,3552
990,7004
991,5245
992,11388
993,3883
994,15220
995,4972
996,6790
997,7332
998,5293
999,10696
1000,3964
1001,13532
1002,3988
1003,5473
1004,16078
1005,12629
1006,11560
1007,11265
1008,8104
1009,4296
1010,7298
1011,13666
1012,8140
1013,11111
1014,7572
1015,10154
1016,11836
1017,11594
1018,5079
1019,11212
1020,4989
1021,3981
1022,13941
1023,9583
1024,5203
1025,11309
1026,6461
1027,5309
1028,5838
1029,5277
1030,4677
1031,10763
1032,12941
1033,8315
1034,16228
1035,10282
1036,7496
1037,12690
1038,6520
1039,13205
1040,4680
1041,12480
1042,15222
1043,7759
1044,7192
1045,4131
1046,5522
1047,6479
1048,6551
1049,1991
1050,5472
1051,2056
1052,6165
1053,2013
1054,11980
1055,4829
1056,11890
1057,15264
1058,9759
1059,8757
1060,6234
1061,3518
1062,10041
1063,14880
1064,15926
1065,4668
1066,6571
1067,5620
1068,7528
1069,4736
1070,8731
1071,10801
1072,8552
1073,5537
1074,6552
1075,8532
1076,12266
1077,10042
1078,6793
1079,11360
1080,16757
1081,6379
1082,12169
1083,13453
1084,7240
1085,12733
1086,12087
1087,16348
1088,10502
1089,9894
1090,13058
1091,12394
1092,4209
1093,18023
1094,12735
1095,10393
1096,7026
1097,6002
1098,6226
1099,4435
1100,12274
1101,10410
1102,5628
1103,3850
1104,7311
1105,13374
1106,7816
1107,19953
1108,14192
1109,5704
1110,13230
1111,5413
1112,4842
1113,8168
1114,9356
1115,12451
1116,7591
1117,7644
1118,12051
1119,5183
1120,18204
1121,4171
1122,13240
1123,5060
1124,4848
1125,14091
1126,3847
1127,10720
1128,5815
1129,4677
1130,13005
1131,7717
1132,8420
1133,11684
1134,5548
1135,7804
1136,7797
1137,8965
1138,6491
1139,3093
1140,15157
1141,12186
1142,6226
1143,10262
1144,3155
1145,6136
1146,2926
1147,2779
1148,19193
1149,14980
1150,4805
1151,5576
1152,3885
1153,12769
1154,11238
1155,2150
1156,11576
1157,4426
1158,11024
1159,3783
1160,4982
1161,4807
1162,10584
1163,29479
1164,6916
1165,4838
1166,7941
1167,25531
1168,3133
1169,3605
1170,4829
1171,4860
1172,11139
1173,7997
1174,7238
1175,12442
1176,7695
1177,11982
1178,6369
1179,15044
1180,17525
1181,9109
1182,10025
1183,7883
1184,10607
1185,12298
1186,10822
1187,3570
1188,3570
1189,4872
1190,12093
1191,13839
1192,4384
1193,6418
1194,10647
1195,4218
1196,9435
1197,13141
1198,4234
1199,2175
1200,16038
1201,10816
1202,6238
1203,11450
1204,14802
1205,13365
1206,12015
1207,8571
1208,4890
1209,14179
1210,4853
1211,14062
1212,3200
1213,8712
1214,11730
1215,5723
1216,11585
1217,4779
1218,14081
1219,7205
1220,9479
1221,6781
1222,3946
1223,9088
1224,9334
1225,10843
1226,5451
1227,10040
1228,11997
1229,15308
1230,12464
1231,16939
1232,3930
1233,11130
1234,15792
1235,9805
1236,8898
1237,10955
1238,7839
1239,13439
1240,5442
1241,12166
1242,7006
1243,11227
1244,9313
1245,8913
1246,9014
1247,3877
1248,4656
1249,7934
1250,10042
1251,10159
1252,13475
1253,7664
1254,12855
1255,7569
1256,14880
1257,14958
1258,4673
1259,5761
1260,8298
1261,11950
1262,14400
1263,11282
1264,5721
1265,12498
1266,15327
1267,12893
1268,12712
1269,11490
1270,10105
1271,14773
1272,10356
1273,10423
1274,6111
1275,10344
1276,10979
1277,10880
1278,7818
1279,14036
1280,7992
1281,12003
1282,6029
1283,4843
1284,8005
1285,6195
1286,3613
1287,17412
1288,14961
1289,7000
1290,12180
1291,1996
1292,12821
1293,12306
1294,11357
1295,6299
1296,7211
1297,11609
1298,4829
1299,8046
1300,2396
1301,11299
1302,12486
1303,9722
1304,12875
1305,13747
1306,5340
1307,15043
1308,7718
1309,13602
1310,10049
1311,12213
1312,11583
1313,12354
1314,12672
1315,4727
1316,3433
1317,13657
1318,9983
1319,8351
1320,8305
1321,4904
1322,6453
1323,4644
1324,5211
1325,13477
1326,4125
1327,13543
1328,6703
1329,5041
1330,5087
1331,10535
1332,9946
1333,6833
1334,11410
1335,11869
1336,10404
1337,11457
1338,11727
1339,10661
1340,8073
1341,10849
1342,13854
1343,3471
1344,5255
1345,10928
1346,15539
1347,14728
1348,9745
1349,13522
1350,11326
1351,15369
1352,11646
1353,7005
1354,11364
1355,12103
1356,3573
1357,6154
1358,6187
1359,7072
1360,10834
1361,3982
1362,10338
1363,6412
1364,10760
1365,12300
1366,2916
1367,11249
1368,8804
1369,12967
1370,13045
1371,9068
1372,6525
1373,8977
1374,6800
1375,11513
1376,9398
1377,14719
1378,8241
1379,10040
1380,13110
1381,13185
1382,4468
1383,5719
1384,12258
1385,7371
1386,6602
1387,8811
1388,4114
1389,13107
1390,4922
1391,3778
1392,7810
1393,6370
1394,11568
1395,5502
1396,7289
1397,6510
1398,3314
1399,10962
1400,6041
1401,2055
1402,4834
1403,7684
1404,10656
1405,6599
1406,5555
1407,2843
1408,13421
1409,3616
1410,10964
1411,3981
1412,12316
1413,5635
1414,7915
1415,12235
1416,15531
1417,18486
1418,27824
1419,13383
1420,13971
1421,13121
1422,11230
1423,4793
1424,13103
1425,7350
1426,15844
1427,3105
1428,5408
1429,4828
1430,10237
1431,9973
1432,7549
1433,11549
1434,14462
1435,8737
1436,10994
1437,5430
1438,4579
1439,7968
1440,6939
1441,3851
1442,13645
1443,11870
1444,3547
1445,5723
1446,4171
1447,5060
1448,7912
1449,10975
1450,6023
1451,10349
1452,4833
1453,3561
1454,14705
1455,6501
1456,13949
1457,12111
1458,10775
1459,10462
1460,9111
1461,17164
1462,12417
1463,6077
1464,3985
1465,5136
1466,4425
1467,6393
1468,12141
1469,18486
1470,16532
1471,11579
1472,13242
1473,8434
1474,14010
1475,4253
1476,4436
1477,4057
1478,10728
1479,13022
1480,8490
1481,5948
1482,11131
1483,14454
1484,12999
1485,4489
1486,3852
1487,7329
1488,10590
1489,7332
1490,16685
1491,10732
1492,7562
1493,5813
1494,14369
1495,2801
1496,9950
1497,11899
1498,15190
1499,12880
1500,24843
1501,14580
1502,4041
1503,14430
1504,10462
1505,12138
1506,4020
1507,10476
1508,14925
1509,4319
1510,6669
1511,14474
1512,11247
1513,7158
1514,4397
1515,12102
1516,15614
1517,11395
1518,13605
1519,3927
1520,4958
1521,3809
1522,3855
1523,4615
1524,13826
1525,12220
1526,6756
1527,17466
1528,3941
1529,13515
1530,4466
1531,3883
1532,10002
1533,3993
1534,6388
1535,4897
1536,14713
1537,13179
1538,8975
1539,15496
1540,6406
1541,5766
1542,11869
1543,4980
1544,6480
1545,10563
1546,9714
1547,13618
1548,7822
1549,6356
1550,11849
1551,7296
1552,7425
1553,10708
1554,10822
1555,13063
1556,16927
1557,13479
1558,11700
1559,11452
1560,14881
1561,15558
1562,4830
1563,13222
1564,7483
1565,7784
1566,3689
1567,8981
1568,7068
